Query_Text,Budget_Value,Target_Label
What hypothesis do we formulate regarding sentence representation in mBERT?,0.1,Direct_LLM
What hypothesis do we formulate regarding sentence representation in mBERT?,0.2,Direct_LLM
What hypothesis do we formulate regarding sentence representation in mBERT?,0.3,Single_Hop_BM25
What hypothesis do we formulate regarding sentence representation in mBERT?,0.4,Single_Hop_BM25
What hypothesis do we formulate regarding sentence representation in mBERT?,0.5,Single_Hop_BM25
What hypothesis do we formulate regarding sentence representation in mBERT?,0.6,Single_Hop_BM25
What hypothesis do we formulate regarding sentence representation in mBERT?,0.7,Single_Hop_BM25
What hypothesis do we formulate regarding sentence representation in mBERT?,0.8,Single_Hop_BM25
What hypothesis do we formulate regarding sentence representation in mBERT?,0.9,Single_Hop_BM25
What hypothesis do we formulate regarding sentence representation in mBERT?,1.0,Single_Hop_BM25
What is the inter-annotator agreement for calculating it using Fleiss’ Kappa?,0.1,Direct_LLM
What is the inter-annotator agreement for calculating it using Fleiss’ Kappa?,0.2,Direct_LLM
What is the inter-annotator agreement for calculating it using Fleiss’ Kappa?,0.3,Single_Hop_BM25
What is the inter-annotator agreement for calculating it using Fleiss’ Kappa?,0.4,Single_Hop_BM25
What is the inter-annotator agreement for calculating it using Fleiss’ Kappa?,0.5,Single_Hop_BM25
What is the inter-annotator agreement for calculating it using Fleiss’ Kappa?,0.6,Single_Hop_BM25
What is the inter-annotator agreement for calculating it using Fleiss’ Kappa?,0.7,Single_Hop_BM25
What is the inter-annotator agreement for calculating it using Fleiss’ Kappa?,0.8,Single_Hop_BM25
What is the inter-annotator agreement for calculating it using Fleiss’ Kappa?,0.9,Single_Hop_BM25
What is the inter-annotator agreement for calculating it using Fleiss’ Kappa?,1.0,Single_Hop_BM25
What are the names of some sentence-level evaluation tasks included in SentEval?,0.1,Direct_LLM
What are the names of some sentence-level evaluation tasks included in SentEval?,0.2,Direct_LLM
What are the names of some sentence-level evaluation tasks included in SentEval?,0.3,Single_Hop_BM25
What are the names of some sentence-level evaluation tasks included in SentEval?,0.4,Single_Hop_BM25
What are the names of some sentence-level evaluation tasks included in SentEval?,0.5,Single_Hop_BM25
What are the names of some sentence-level evaluation tasks included in SentEval?,0.6,Single_Hop_BM25
What are the names of some sentence-level evaluation tasks included in SentEval?,0.7,Single_Hop_BM25
What are the names of some sentence-level evaluation tasks included in SentEval?,0.8,Single_Hop_BM25
What are the names of some sentence-level evaluation tasks included in SentEval?,0.9,Single_Hop_BM25
What are the names of some sentence-level evaluation tasks included in SentEval?,1.0,Single_Hop_BM25
What type of data segmentation does BERT use?,0.1,Direct_LLM
What type of data segmentation does BERT use?,0.2,Direct_LLM
What type of data segmentation does BERT use?,0.3,Single_Hop_BM25
What type of data segmentation does BERT use?,0.4,Single_Hop_BM25
What type of data segmentation does BERT use?,0.5,Single_Hop_BM25
What type of data segmentation does BERT use?,0.6,Single_Hop_BM25
What type of data segmentation does BERT use?,0.7,Single_Hop_BM25
What type of data segmentation does BERT use?,0.8,Single_Hop_BM25
What type of data segmentation does BERT use?,0.9,Single_Hop_BM25
What type of data segmentation does BERT use?,1.0,Single_Hop_BM25
What is the title of Nenkova's work presented in Metrics and System Comparison for Automatic Summarization?,0.1,Direct_LLM
What is the title of Nenkova's work presented in Metrics and System Comparison for Automatic Summarization?,0.2,Direct_LLM
What is the title of Nenkova's work presented in Metrics and System Comparison for Automatic Summarization?,0.3,Single_Hop_BM25
What is the title of Nenkova's work presented in Metrics and System Comparison for Automatic Summarization?,0.4,Single_Hop_BM25
What is the title of Nenkova's work presented in Metrics and System Comparison for Automatic Summarization?,0.5,Single_Hop_BM25
What is the title of Nenkova's work presented in Metrics and System Comparison for Automatic Summarization?,0.6,Single_Hop_BM25
What is the title of Nenkova's work presented in Metrics and System Comparison for Automatic Summarization?,0.7,Single_Hop_BM25
What is the title of Nenkova's work presented in Metrics and System Comparison for Automatic Summarization?,0.8,Single_Hop_BM25
What is the title of Nenkova's work presented in Metrics and System Comparison for Automatic Summarization?,0.9,Single_Hop_BM25
What is the title of Nenkova's work presented in Metrics and System Comparison for Automatic Summarization?,1.0,Single_Hop_BM25
"What is the title of the work by Zhang et al., published in IEEE Transactions on Knowledge and Data Engineering?",0.1,Direct_LLM
"What is the title of the work by Zhang et al., published in IEEE Transactions on Knowledge and Data Engineering?",0.2,Direct_LLM
"What is the title of the work by Zhang et al., published in IEEE Transactions on Knowledge and Data Engineering?",0.3,Single_Hop_BM25
"What is the title of the work by Zhang et al., published in IEEE Transactions on Knowledge and Data Engineering?",0.4,Single_Hop_BM25
"What is the title of the work by Zhang et al., published in IEEE Transactions on Knowledge and Data Engineering?",0.5,Single_Hop_BM25
"What is the title of the work by Zhang et al., published in IEEE Transactions on Knowledge and Data Engineering?",0.6,Single_Hop_BM25
"What is the title of the work by Zhang et al., published in IEEE Transactions on Knowledge and Data Engineering?",0.7,Single_Hop_BM25
"What is the title of the work by Zhang et al., published in IEEE Transactions on Knowledge and Data Engineering?",0.8,Single_Hop_BM25
"What is the title of the work by Zhang et al., published in IEEE Transactions on Knowledge and Data Engineering?",0.9,Single_Hop_BM25
"What is the title of the work by Zhang et al., published in IEEE Transactions on Knowledge and Data Engineering?",1.0,Single_Hop_BM25
What performance improvement does Conditional BERT achieve over BERT for various benchmarks after fine-tuning?,0.1,Direct_LLM
What performance improvement does Conditional BERT achieve over BERT for various benchmarks after fine-tuning?,0.2,Direct_LLM
What performance improvement does Conditional BERT achieve over BERT for various benchmarks after fine-tuning?,0.3,Single_Hop_BM25
What performance improvement does Conditional BERT achieve over BERT for various benchmarks after fine-tuning?,0.4,Single_Hop_BM25
What performance improvement does Conditional BERT achieve over BERT for various benchmarks after fine-tuning?,0.5,Single_Hop_BM25
What performance improvement does Conditional BERT achieve over BERT for various benchmarks after fine-tuning?,0.6,Single_Hop_BM25
What performance improvement does Conditional BERT achieve over BERT for various benchmarks after fine-tuning?,0.7,Single_Hop_BM25
What performance improvement does Conditional BERT achieve over BERT for various benchmarks after fine-tuning?,0.8,Single_Hop_BM25
What performance improvement does Conditional BERT achieve over BERT for various benchmarks after fine-tuning?,0.9,Single_Hop_BM25
What performance improvement does Conditional BERT achieve over BERT for various benchmarks after fine-tuning?,1.0,Single_Hop_BM25
What are the dimensions of the embedding size used in training fastText systems?,0.1,Direct_LLM
What are the dimensions of the embedding size used in training fastText systems?,0.2,Direct_LLM
What are the dimensions of the embedding size used in training fastText systems?,0.3,Single_Hop_BM25
What are the dimensions of the embedding size used in training fastText systems?,0.4,Single_Hop_BM25
What are the dimensions of the embedding size used in training fastText systems?,0.5,Single_Hop_BM25
What are the dimensions of the embedding size used in training fastText systems?,0.6,Single_Hop_BM25
What are the dimensions of the embedding size used in training fastText systems?,0.7,Single_Hop_BM25
What are the dimensions of the embedding size used in training fastText systems?,0.8,Single_Hop_BM25
What are the dimensions of the embedding size used in training fastText systems?,0.9,Single_Hop_BM25
What are the dimensions of the embedding size used in training fastText systems?,1.0,Single_Hop_BM25
What is the title of Reza Ghaeini et al.'s work presented in LREC?,0.1,Direct_LLM
What is the title of Reza Ghaeini et al.'s work presented in LREC?,0.2,Direct_LLM
What is the title of Reza Ghaeini et al.'s work presented in LREC?,0.3,Single_Hop_BM25
What is the title of Reza Ghaeini et al.'s work presented in LREC?,0.4,Single_Hop_BM25
What is the title of Reza Ghaeini et al.'s work presented in LREC?,0.5,Single_Hop_BM25
